u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
196,39,81,73.35,15,0.6,0,15,0,15,0,0,0,0
195,38,81,73.65,15,0.6,0,15,0,15,0,0,0,0
192,38,81,74.1,15,0.6,0,15,0,15,0,0,0,0
190,33,81,74.4,15,0.6,0,15,0,15,0,0,0,0
188,32,81,74.7,15,0.6,0,15,0,15,0,0,0,0
185,31,81,75.15,15,0.6,0,15,0,15,0,0,0,0
183,30,81,75.45,15,0.6,0,15,0,15,0,0,0,0
181,29,81,75.75,15,0.6,0,15,0,15,0,0,0,0
177,29,81,76.2,15,0.6,0,15,0,15,0,0,0,0
181,24,82,76.5,15,0.6,0,15,0,15,0,0,0,0
179,23,82,76.8,15,0.6,0,15,0,15,0,0,0,0
177,22,82,77.1,15,0.6,0,15,0,15,0,0,0,0
173,21,82,77.55,15,0.6,0,15,0,15,0,0,0,0
171,20,82,77.85,15,0.6,0,15,0,15,0,0,0,0
169,15,82,78.15,15,0.6,0,15,0,15,0,0,0,0
165,13,82,78.6,15,0.6,0,15,0,15,0,0,0,0
163,12,82,78.9,15,0.6,0,15,0,15,0,0,0,0
